w, efficiency
300, 33
325, 33.5
350, 34
360, 35.5
375, 43
400, 47.5
425, 55
450, 59
475, 62
500, 64
525, 66
530, 67
550, 65
575, 65
600, 64.5
625, 62.5
650, 59.5
675, 57.5
700, 54.5
725, 52.5
750, 50
775, 47.5
800, 45
825, 40
850, 40
875, 39
900, 38
